Обязательные предметы,Предметы углубленного уровня,Предметы базового уровня,Предметы начального уровня,Дополнительные курсы и внеурочная деятельность,ID,Класс,Пол,Оценка отношений с учителями,Возраст,Когнитивные способности,Результаты анкет,Диагностика профиля способностей и достижений,Всего часов,Часов в классе,Часов индивидуальных
"Русский язык (1 ч. в классе, 3 ч. индивидуально)",Литература,Алгебра,Русский язык,Русская словесность (1 ч.),1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Литература (1 ч. в классе, 2 ч. индивидуально)",Иностранный язык,Информатика,,Экологическая культура (1 ч.),1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Иностранный язык (1 ч. в классе, 2 ч. индивидуально)",Геометрия,История России,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Алгебра (1 ч. в классе, 2 ч. индивидуально)",Всеобщая история,Основы безопасности жизнедеятельности,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Геометрия (1 ч. в классе, 2 ч. индивидуально)",Обществознание,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Информатика (1 ч. в классе, 2 ч. индивидуально)",География,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"История России (1 ч. в классе, 2 ч. индивидуально)",Физика,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Всеобщая история (1 ч. в классе, 2 ч. индивидуально)",Химия,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Обществознание (1 ч. в классе, 2 ч. индивидуально)",Биология,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"География (1 ч. в классе, 2 ч. индивидуально)",Технология,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Физика (1 ч. в классе, 2 ч. индивидуально)",Физическая культура,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Химия (0 ч. в классе, 0 ч. индивидуально)",,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Биология (0 ч. в классе, 0 ч. индивидуально)",,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Технология (0 ч. в классе, 0 ч. индивидуально)",,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Основы безопасности жизнедеятельности (0 ч. в классе, 0 ч. индивидуально)",,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
"Физическая культура (0 ч. в классе, 0 ч. индивидуально)",,,,,1345,9,М,4,16,51,5,Выше среднего,36,11,23
